bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
Paciência;148;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;2081;2153;3839;3777;4041;4165;3744;4010;3274;3361;2831;3258;2862;3053;2634;2989;2245;2472;1709;1792;1132;1220;797;976;547;708;404;497;222;268;140;204
Padre Miguel;140;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;1640;1654;2495;2491;3053;3050;2773;2816;2435;2562;2189;2483;2270;2586;2238;2595;1890;2243;1640;1738;1110;1290;892;1080;632;932;477;767;333;490;258;403
Paquetá;13;PAQUETA;21;XXI Paquetá;Centro;1.1;Área de Planejamento 1;1;85;74;110;100;143;113;106;125;107;107;92;104;100;110;114;138;90;120;68;108;83;75;67;85;78;101;61;61;41;63;43;70
Parada de Lucas;47;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;603;559;908;930;993;1009;975;1053;896;915;823;898;808;863;727;816;543;648;456;563;322;397;304;372;231;300;161;220;96;98;52;107
Parque Anchieta;108;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;727;732;1019;1037;1192;1230;1200;1230;1090;1236;1018;1153;987;1102;859;998;704;942;739;818;538;597;481;507;343;324;210;220;102;110;77;119
Parque Colúmbia;159;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;246;258;385;356;410;406;395;392;344;413;377;383;359;414;260;328;223;237;173;181;125;153;131;145;119;132;73;85;31;28;21;29
Pavuna;114;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;2351;2327;3656;3630;4000;4145;3755;4165;3427;3809;3285;3569;3211;3708;3015;3367;2461;2976;2020;2227;1421;1659;1214;1491;901;1166;664;779;335;414;189;324
Pechincha;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;783;766;1145;1136;1367;1388;1210;1291;1080;1285;1109;1316;1231;1530;1243;1546;1048;1313;854;936;595;746;475;599;393;528;261;431;177;270;127;311
Pedra de Guaratiba;153;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;238;239;412;366;432;403;424;415;313;353;338;386;334;395;303;357;284;321;226;248;174;230;160;173;135;144;105;122;46;76;47;61
Penha;43;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;1610;1679;2670;2827;2923;3083;2938;3069;2565;2769;2411;2777;2530;3005;2462;2792;2098;2498;1722;2080;1257;1576;1100;1484;1016;1254;696;1013;416;740;318;684
Penha Circular;44;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;1119;1234;1928;1832;2076;2144;2089;2129;1842;1972;1679;1914;1803;2099;1621;2062;1507;1816;1199;1551;935;1210;834;1157;716;1069;558;793;308;532;203;429
Piedade;69;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1045;966;1539;1529;1732;1799;1776;1883;1648;1623;1397;1658;1517;1808;1656;1900;1236;1619;1034;1347;815;1132;814;1035;691;987;528;786;315;551;237;512
Pilares;71;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;640;654;1016;1030;1150;1232;1139;1163;915;1081;926;1056;992;1164;989;1208;861;1094;722;882;487;709;504;696;440;745;388;586;202;371;179;315
Pitangueiras;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;266;288;435;461;488;526;504;510;443;466;443;517;425;487;389;470;324;357;260;299;175;186;154;198;119;144;102;94;47;64;28;56
Portuguesa;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;482;465;895;826;1068;1082;1069;1161;983;1027;802;878;721;953;732;923;682;980;660;914;516;668;442;557;345;509;300;418;174;275;108;225
Praça da Bandeira;32;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;147;168;264;244;330;327;387;399;329;404;317;358;302;363;326;400;264;360;219;338;177;244;175;274;167;231;119;202;67;141;53;171
Praça Seca;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1376;1356;2189;2199;2430;2616;2344;2500;2101;2319;1963;2214;2064;2438;2048;2411;1725;2098;1385;1805;1001;1324;890;1218;805;1086;597;910;372;617;361;752
Praia da Bandeira;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;140;175;223;230;260;276;252;271;272;299;265;274;250;294;220;280;193;274;166;224;143;187;113;156;88;125;79;102;35;58;19;38
Quintino Bocaiúva;79;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;748;795;1231;1210;1438;1464;1450;1441;1258;1408;1111;1336;1208;1425;1224;1448;961;1288;884;1032;646;812;605;833;531;714;396;625;205;379;192;406
Ramos;41;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;765;770;1257;1200;1406;1444;1458;1541;1378;1420;1258;1425;1289;1468;1237;1585;1191;1383;916;1259;822;995;720;1015;598;894;487;745;334;505;243;521
Realengo;139;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;4647;4467;6997;7169;8007;7861;7391;7727;6776;7265;6265;7024;6459;7267;5856;7018;5015;5877;4014;4866;2944;3641;2553;3146;1902;2451;1373;1853;706;1103;557;923
Recreio dos Bandeirantes;132;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;943;835;1366;1386;1565;1571;1630;1814;1596;1874;1523;1661;1557;1693;1414;1352;1192;1151;897;893;635;581;441;420;353;343;202;205;107;124;73;169
Riachuelo;59;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;284;250;417;400;482;478;482;549;428;457;405;538;448;585;455;596;452;524;338;484;228;321;220;355;247;311;186;316;130;231;102;226
Ribeira;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;72;65;112;96;118;130;131;148;112;132;133;117;111;128;125;147;126;139;86;98;81;86;62;94;57;77;48;62;31;43;21;52
Ricardo de Albuquerque;109;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;742;708;1098;1120;1288;1214;1060;1192;1030;1124;1003;1075;999;1157;951;1096;755;891;612;697;437;561;404;481;305;409;215;305;110;155;85;185
Rio Comprido;7;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;747;725;1265;1248;1402;1518;1421;1559;1246;1406;1059;1323;1134;1408;1113;1458;1031;1302;808;1058;600;840;532;706;455;697;407;612;254;444;237;559
Rocha;58;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;186;190;326;307;330;383;351;401;283;371;331;347;345;413;367;464;294;403;236;311;212;257;182;240;158;225;132;204;77;146;66;147
Rocha Miranda;86;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1020;1019;1632;1523;1747;1802;1659;1697;1439;1626;1414;1616;1469;1702;1388;1705;1233;1496;944;1209;756;878;631;860;565;717;353;598;215;319;148;331
Rocinha;154;ROCINHA;27;XXVII Rocinha;Zona Sul;2.1;Área de Planejamento 2;2;1181;1214;2133;2296;2446;2757;3243;3139;2707;2787;2306;2454;1905;2039;1458;1591;1017;1152;728;729;412;461;272;322;188;249;112;139;57;66;49;63
Sampaio;60;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;235;226;407;409;461;461;456;462;400;431;361;415;316;368;317;360;237;332;209;280;171;202;126;172;112;162;81;139;58;81;34;98
Santa Cruz;149;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;4993;5183;8685;8828;9141;9218;8584;8872;7629;8036;6876;7381;6332;7187;5681;6360;4647;5252;3665;4027;2484;2739;1963;2157;1374;1636;831;1083;488;622;347;483
Santa Teresa;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;1.1;Área de Planejamento 1;1;877;875;1391;1407;1604;1636;1784;1864;1671;1758;1544;1680;1580;1779;1371;1755;1187;1473;982;1166;664;857;638;780;499;654;397;558;225;371;204;438
Santíssimo;143;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;979;1000;1501;1378;1565;1497;1470;1540;1470;1462;1256;1450;1291;1428;1127;1264;980;1018;743;751;512;506;392;427;290;343;188;188;93;121;64;97
Santo Cristo;3;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;204;213;341;314;408;391;411;420;384;389;309;344;319;354;305;364;264;361;199;265;157;190;159;219;144;170;105;181;71;100;55;92
São Conrado;31;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;216;253;343;387;496;491;492;522;394;487;358;428;345;464;400;456;361;464;380;440;307;276;206;223;167;182;120;152;86;79;51;82
São Francisco Xavier;57;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;199;169;293;278;306;329;298;349;279;303;291;328;330;345;251;310;232;269;186;192;108;147;105;148;95;144;83;118;46;87;31;77
Saúde;1;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;48;40;71;68;105;83;94;107;89;76;85;72;84;83;86;91;65;79;48;69;51;41;35;43;44;30;24;47;17;28;12;26
Senador Camará;142;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;2871;2817;4827;4701;5303;5316;4899;5011;4372;4565;3996;4355;3963;4367;3446;3946;2990;3237;2229;2530;1590;1851;1283;1606;981;1105;643;854;332;432;189;315
Senador Vasconcelos;145;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;734;738;1164;1082;1242;1340;1192;1253;1068;1135;1018;1152;1008;1136;952;1036;763;848;623;696;414;475;325;377;229;284;166;200;90;123;58;90
Sepetiba;150;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;851;865;1560;1517;1623;1607;1450;1442;1242;1349;1167;1311;1151;1319;1090;1205;928;1107;801;894;611;702;573;647;486;484;324;398;216;195;134;217
Tanque;123;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;2199;2173;3541;3544;4080;4268;4210;4186;3376;3795;3142;3685;3400;4045;3261;4041;2972;3658;2537;2977;1854;2068;1468;1757;1083;1419;697;1084;426;702;328;581
Taquara;122;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;767;779;1224;1221;1456;1405;1263;1352;1160;1318;1157;1270;1199;1438;1131;1380;983;1117;800;861;529;624;493;607;378;527;304;376;194;233;143;278
Tauá;101;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;808;778;1247;1291;1477;1547;1462;1534;1367;1423;1132;1342;1179;1302;1006;1214;856;980;699;821;487;582;400;506;325;373;221;307;117;187;91;182
Tijuca;33;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;3023;2946;4741;4698;5980;6146;6199;6786;5317;6106;4855;5672;5185;6639;5072;6572;4635;6652;4295;6015;3349;4907;3196;4684;2964;4720;2687;4596;1819;3486;1736;4189
Todos os Santos;64;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;480;448;713;667;904;886;870;1011;720;910;710;886;846;1013;831;1061;776;1027;658;804;474;641;435;647;380;579;308;481;207;340;137;330
Tomás Coelho;56;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;564;582;814;828;877;983;820;890;770;915;765;871;787;932;702;809;596;812;517;606;409;494;296;382;241;321;183;265;99;144;61;105
Turiaçú;85;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;436;434;636;655;729;703;664;687;596;640;528;649;568;664;542;645;482;557;370;440;280;332;247;314;189;235;124;172;68;116;50;115
Urca;22;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;161;186;266;219;245;211;185;261;217;266;180;279;349;345;277;315;224;260;177;188;137;168;110;155;110;150;89;133;49;101;61;163
Vargem Grande;131;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;217;202;399;387;471;475;487;413;356;377;336;364;316;367;328;313;213;223;178;125;98;93;88;91;81;67;48;42;31;26;18;28
Vargem Pequena;130;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;313;280;475;497;485;501;443;557;484;510;470;457;420;443;284;356;206;228;134;128;98;113;87;82;58;54;33;37;20;18;14;16
Vaz Lobo;84;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;312;302;448;445;480;546;475;528;423;469;386;453;404;481;384;499;363;417;276;375;208;284;221;292;167;225;104;181;77;126;51;115
Vicente de Carvalho;73;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;586;663;944;883;1018;1026;1016;1076;930;1002;837;904;874;961;751;931;622;753;517;608;392;505;366;458;296;389;205;272;112;147;92;170
Vidigal;30;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;282;309;550;546;608;676;669;733;631;647;544;590;457;536;365;472;330;415;250;237;156;203;110;108;66;85;38;47;22;23;17;30
Vigário Geral;48;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;1061;1040;1671;1670;1739;1784;1635;1781;1407;1673;1421;1557;1398;1504;1166;1399;1019;1108;849;948;576;651;462;561;395;465;251;318;140;187;100;185
Vila da Penha;74;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;396;452;649;655;748;710;654;721;536;620;554;661;622;777;736;808;566;699;391;522;273;388;261;444;270;434;282;395;172;225;131;185
Vila Isabel;36;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;476;501;774;700;968;1014;906;1094;796;970;671;944;864;1023;859;1109;813;1141;757;958;629;782;505;640;420;566;296;455;166;296;169;281
Vila Kosmos;72;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;1660;1607;2676;2663;3184;3248;3081;3461;2714;3081;2461;3044;2731;3387;2735;3491;2475;3421;2075;2782;1544;2170;1486;2094;1298;2016;1068;1763;663;1279;598;1401
Vila Militar;135;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;428;364;518;549;590;609;542;632;608;747;739;623;481;516;414;501;353;454;340;363;206;208;150;203;116;145;69;87;22;51;19;47
Vila Valqueire;125;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;712;795;1132;1132;1330;1389;1278;1365;1096;1281;1046;1198;1199;1415;1184;1395;1024;1328;877;1021;670;770;560;724;501;607;334;497;192;274;148;299
Vista Alegre;75;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;208;176;276;252;319;333;317;300;256;310;271;329;271;354;321;391;297;353;226;258;160;249;153;214;153;250;153;192;67;126;52;85
Zumbi;92;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;39;36;59;59;73;87;90;86;77;65;65;65;64;87;86;101;57;81;56;92;52;57;42;48;26;56;36;38;19;39;14;32
