bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoas alfabetizadas, Sexo masculino, 15 a 19 anos;Pessoas alfabetizadas, Sexo feminino, 15 a 19 anos;Pessoas alfabetizadas, Sexo masculino, 20 a 24 anos;Pessoas alfabetizadas, Sexo feminino, 20 a 24 anos;Pessoas alfabetizadas, Sexo masculino, 25 a 29 anos;Pessoas alfabetizadas, Sexo feminino, 25 a 29 anos;Pessoas alfabetizadas, Sexo masculino, 30 a 34 anos;Pessoas alfabetizadas, Sexo feminino, 30 a 34 anos;Pessoas alfabetizadas, Sexo masculino, 35 a 39 anos;Pessoas alfabetizadas, Sexo feminino, 35 a 39 anos;Pessoas alfabetizadas, Sexo masculino, 40 a 44 anos;Pessoas alfabetizadas, Sexo feminino, 40 a 44 anos;Pessoas alfabetizadas, Sexo masculino, 45 a 49 anos;Pessoas alfabetizadas, Sexo feminino, 45 a 49 anos;Pessoas alfabetizadas, Sexo masculino, 50 a 54 anos;Pessoas alfabetizadas, Sexo feminino, 50 a 54 anos;Pessoas alfabetizadas, Sexo masculino, 55 a 59 anos;Pessoas alfabetizadas, Sexo feminino, 55 a 59 anos;Pessoas alfabetizadas, Sexo masculino, 60 a 64 anos;Pessoas alfabetizadas, Sexo feminino, 60 a 64 anos;Pessoas alfabetizadas, Sexo masculino, 65 a 69 anos;Pessoas alfabetizadas, Sexo feminino, 65 a 69 anos;Pessoas alfabetizadas, Sexo masculino, 70 a 79 anos;Pessoas alfabetizadas, Sexo feminino, 70 a 79 anos;Pessoas alfabetizadas, Sexo masculino, 80 anos ou mais;Pessoas alfabetizadas, Sexo feminino, 80 anos ou mais
Inhoaíba;146;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;2602;2464;2788;2758;2666;2887;2575;2908;2624;2951;2659;3029;2109;2564;2126;2374;1755;2151;1491;1855;1125;1483;1081;1444;230;547
Ipanema;25;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;680;666;841;810;1025;1148;1237;1340;1405;1410;1283;1509;1156;1286;1068;1255;1165;1419;1144;1449;994;1383;1591;2463;1014;2171
Irajá;76;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;2348;2192;2601;2569;2553;2863;2703;3003;3072;3411;3127;3803;2706;3325;2457;3260;2473;3254;2375;3375;1975;3125;2478;4367;980;2298
Itanhangá;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;2207;2304;3048;3316;3263;3383;3070;3371;2945;3210;2711;3046;2137;2415;1540;1854;1207;1519;890;1076;533;721;465;702;124;224
Jabour;163;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;130;131;161;138;138;130;147;154;174;191;206;260;188;221;189;217;163;189;156;210;122;219;157;284;82;178
Jacaré;51;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;262;281;300;315;304;303;244;324;261;318;288;327;233;274;215;282;227;241;169;227;141;202;174;239;64;142
Jacarepaguá;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;6074;6075;7394;7533;7650;7897;7482;7921;7118;7630;6551;7742;4939;5938;4423;5230;3449;4302;2933;3746;1900;2666;1878;2780;408;1076
Jacarezinho;155;JACAREZINHO;28;XXVIII Jacarezinho;Méier;3.2;Área de Planejamento 3;3;1282;1275;1549;1773;1327;1709;1383;1528;1199;1353;1332;1353;962;1041;843;928;720;907;644;779;508;643;439;573;85;210
Jardim América;49;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;601;582;724;705;658;724;700;759;675;773;719;818;608;700;615;800;665;873;596;806;519;645;472;793;201;496
Jardim Botânico;28;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;363;333;383;442;443;445;466;492;504;587;552;719;496;624;494;625;532;667;485;614;421;620;604;913;313;633
