bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
Ricardo de Albuquerque;109;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;1654;1598;2373;2332;2456;2515;2586;2620;2645;2985;2707;3058;2450;3080;2476;2837;2531;2929;2181;2650;1772;2193;1378;1874;883;1337;736;1089;513;815;459;1027
Rio Comprido;7;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;453;482;726;730;708;698;855;796;914;944;815;824;718;734;584;605;535;611;422;481;321;386;198;233;142;169;78;120;58;77;43;93
Rocha;58;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;3884;3987;6410;6286;6404;6293;8200;7736;8565;8382;7573;7722;6074;6251;4892;5219;3997;4462;3272;3563;2402;2750;1563;1789;944;1158;630;837;385;580;298;607
Rocha Miranda;86;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;759;738;1101;1037;1125;1056;1184;1214;1442;1630;1475;1714;1207;1450;1114;1368;1211;1482;1124;1420;895;1255;716;958;502;702;366;530;259;444;259;544
Rocinha;154;ROCINHA;27;XXVII Rocinha;Zona Sul;2.1;Área de Planejamento 2;2;1541;1596;2393;2339;2331;2395;2343;2378;2468;2866;2424;2656;2166;2445;1937;2281;1918;2342;1807;2210;1457;1960;1124;1570;781;1161;663;1054;477;851;480;1168
Sampaio;60;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;891;902;1508;1328;1365;1411;1455;1545;1604;1696;1469;1653;1303;1469;1238;1400;1197;1466;1083;1354;860;1124;667;855;479;598;351;535;235;422;234;431
Santa Cruz;149;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;2425;2431;3576;3391;3891;3660;3948;4156;4157;4430;3843;4354;3512;4044;3404;4013;3316;4005;3125;3849;2606;3460;1960;2681;1419;1918;1095;1562;662;1139;582;1331
Santa Teresa;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;1.1;Área de Planejamento 1;1;734;769;1109;966;1070;1081;1145;1213;1141;1348;1207;1320;1031;1241;1032;1285;1144;1389;1146;1346;929;1182;723;970;540;706;391;607;317;465;268;535
Santíssimo;143;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;2891;2653;3554;3258;3573;3579;4264;4672;5098;6052;5410;6719;5060;6075;4674;5231;4824;5655;4764;5448;4406;5235;3840;4385;2750;3035;2037;2219;1325;1649;1236;2302
Santo Cristo;3;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;53;62;72;77;73;72;96;74;101;114;114;131;91;65;65;72;59;59;41;48;44;44;21;19;20;17;12;11;6;9;3;8
